time,roll,pitch,yaw
1774266999.9171033,0.0,0.0,0.0
1774266999.9280345,0.0,0.0,0.0
1774266999.943949,0.0,0.0,0.0
1774266999.9595535,0.0,0.0,0.0
1774266999.9763398,0.0,0.0,0.0
1774266999.9919515,0.0,0.0,0.0
1774267000.0076485,0.0,0.0,0.0
1774267000.0241241,0.0,0.0,0.0
1774267000.0399208,0.0,0.0,0.0
1774267000.0555267,0.0,0.0,0.0
1774267000.0724921,0.0,0.0,0.0
1774267000.0896316,0.0,0.0,0.0
1774267000.1064122,0.0,0.0,0.0
1774267000.123097,0.0,0.0,0.0
1774267000.1391523,0.0,0.0,0.0
1774267000.1555405,0.0,0.0,0.0
1774267000.1721745,0.0,0.0,0.0
1774267000.187753,0.0,0.0,0.0
1774267000.2043288,0.0,0.0,0.0
1774267000.2200902,0.0,0.0,0.0
1774267000.2359316,0.0,0.0,0.0
1774267000.2515962,0.0,0.0,0.0
1774267000.268354,0.0,0.0,0.0
1774267000.2843566,0.0,0.0,0.0
1774267000.2999656,0.0,0.0,0.0
1774267000.3158326,0.0,0.0,0.0
1774267000.3324625,0.0,0.0,0.0
1774267000.3492346,0.0,0.0,0.0
1774267000.364995,0.0,0.0,0.0
1774267000.380687,0.0,0.0,0.0
1774267000.3972092,0.0,0.0,0.0
1774267000.4129217,0.0,0.0,0.0
1774267000.4296699,0.0,0.0,0.0
1774267000.4465075,0.0,0.0,0.0
1774267000.4620743,0.0,0.0,0.0
1774267000.4778314,0.0,0.0,0.0
1774267000.4945786,0.0,0.0,0.0
1774267000.511321,0.0,0.0,0.0
1774267000.5272865,0.0,0.0,0.0
1774267000.5448976,0.0,0.0,0.0
1774267000.5597055,0.0,0.0,0.0
1774267000.5765483,0.0,0.0,0.0
1774267000.6123393,0.0,0.0,0.0
1774267000.628007,0.0,0.0,0.0
1774267000.6437697,0.0,0.0,0.0
1774267000.6609182,0.0,0.0,0.0
1774267000.6777203,0.0,0.0,0.0
1774267000.694272,0.0,0.0,0.0
1774267000.7102182,0.0,0.0,0.0
1774267000.7261384,0.0,0.0,0.0
1774267000.742223,0.0,0.0,0.0
1774267000.7580373,0.0,0.0,0.0
1774267000.773987,0.0,0.0,0.0
1774267000.7901857,0.0,0.0,0.0
1774267000.8061907,0.0,0.0,0.0
1774267000.8219926,0.0,0.0,0.0
1774267000.837873,0.0,0.0,0.0
1774267000.8551428,0.0,0.0,0.0
1774267000.8871007,0.0,0.0,0.0
1774267000.9029617,0.0,0.0,0.0
1774267000.9190881,0.0,0.0,0.0
1774267000.9350753,0.0,0.0,0.0
1774267000.950981,0.0,0.0,0.0
1774267000.966902,0.0,0.0,0.0
1774267000.9840503,0.0,0.0,0.0
1774267001.0001457,0.0,0.0,0.0
1774267001.0162134,0.0,0.0,0.0
1774267001.0319858,0.0,0.0,0.0
1774267001.0479467,0.0,0.0,0.0
1774267001.0655916,0.0,0.0,0.0
1774267001.081584,0.0,0.0,0.0
1774267001.0974128,0.0,0.0,0.0
1774267001.1138778,0.0,0.0,0.0
1774267001.1308863,0.0,0.0,0.0
1774267001.14732,0.0,0.0,0.0
1774267001.163509,0.0,0.0,0.0
1774267001.180142,0.0,0.0,0.0
1774267001.1952136,0.0,0.0,0.0
1774267001.2114198,0.0,0.0,0.0
1774267001.2279606,0.0,0.0,0.0
1774267001.2441554,0.0,0.0,0.0
1774267001.2662911,0.0,0.0,0.0
1774267001.2760353,0.0,0.0,0.0
1774267001.2917848,0.0,0.0,0.0
1774267001.3083448,0.0,0.0,0.0
1774267001.3246408,0.0,0.0,0.0
1774267001.341248,0.0,0.0,0.0
1774267001.356776,0.0,0.0,0.0
1774267001.37374,0.0,0.0,0.0
1774267001.3902442,0.0,0.0,0.0
1774267001.4065974,0.0,0.0,0.0
1774267001.423762,0.0,0.0,0.0
1774267001.4392955,0.0,0.0,0.0
1774267001.4550526,0.0,0.0,0.0
1774267001.470774,0.0,0.0,0.0
1774267001.4873302,0.0,0.0,0.0
1774267001.503065,0.0,0.0,0.0
1774267001.5186398,0.0,0.0,0.0
1774267001.535285,0.0,0.0,0.0
1774267001.5509572,0.0,0.0,0.0
1774267001.5676553,0.0,0.0,0.0
1774267001.5847156,0.0,0.0,0.0
1774267001.6017606,0.0,0.0,0.0
1774267001.6186001,0.0,0.0,0.0
1774267001.635897,0.0,0.0,0.0
1774267001.6530144,0.0,0.0,0.0
1774267001.6697006,0.0,0.0,0.0
1774267001.686886,0.0,0.0,0.0
1774267001.7039838,0.0,0.0,0.0
1774267001.7208068,0.0,0.0,0.0
1774267001.7379873,0.0,0.0,0.0
1774267001.7553341,0.0,0.0,0.0
1774267001.7713065,0.0,0.0,0.0
1774267001.7872012,0.0,0.0,0.0
1774267001.8036008,0.0,0.0,0.0
1774267001.8196058,0.0,0.0,0.0
1774267001.8356137,0.0,0.0,0.0
1774267001.8512921,0.0,0.0,0.0
1774267001.8672435,0.0,0.0,0.0
1774267001.8827362,0.0,0.0,0.0
1774267001.899426,0.0,0.0,0.0
1774267001.9154084,0.0,0.0,0.0
1774267001.9452868,0.0,0.0,0.0
1774267001.961587,0.0,0.0,0.0
1774267001.9782758,0.0,0.0,0.0
1774267001.9937544,0.0,0.0,0.0
1774267002.0102267,0.0,0.0,0.0
1774267002.0260146,0.0,0.0,0.0
1774267002.0426803,0.0,0.0,0.0
