time,roll,pitch,yaw,x,y,z
1774271230.5113037,0.0,0.0,0.0,0.011666666666666856,-0.018333333333333143,-0.013333333333333712
1774271230.520139,0.0,0.0,0.0,0.011666666666666856,-0.018333333333333143,-0.013333333333333712
1774271230.5276654,0.0,0.0,0.0,0.011666666666666856,-0.018333333333333143,-0.013333333333333712
1774271230.5435598,0.0,0.0,0.0,0.001666666666666856,-0.008333333333333144,0.01666666666666629
1774271230.560062,0.0,0.0,0.0,0.001666666666666856,-0.018333333333333143,-0.003333333333333712
1774271230.5768285,0.0,0.0,0.0,0.001666666666666856,-0.018333333333333143,-0.003333333333333712
1774271230.5914981,0.0,0.0,0.0,0.001666666666666856,-0.008333333333333144,-0.003333333333333712
1774271230.6071243,0.0,0.0,0.0,0.001666666666666856,-0.008333333333333144,-0.003333333333333712
1774271230.6258616,0.0,0.0,0.0,0.001666666666666856,-0.008333333333333144,-0.003333333333333712
1774271230.6416447,0.0,0.0,0.0,0.001666666666666856,-0.008333333333333144,-0.003333333333333712
1774271230.658253,0.0,0.0,0.0,-0.008333333333333144,-0.008333333333333144,0.01666666666666629
1774271230.6753767,0.0,0.0,0.0,-0.008333333333333144,-0.008333333333333144,0.01666666666666629
1774271230.715055,0.0,0.0,0.0,0.001666666666666856,-0.008333333333333144,0.01666666666666629
1774271230.7295358,0.0,0.0,0.0,0.011666666666666856,-0.008333333333333144,-0.003333333333333712
1774271230.746123,0.0,0.0,0.0,0.011666666666666856,-0.008333333333333144,-0.003333333333333712
1774271230.7620468,0.0,0.0,0.0,0.001666666666666856,-0.008333333333333144,-0.003333333333333712
1774271230.7776983,0.0,0.0,0.0,0.001666666666666856,-0.008333333333333144,-0.003333333333333712
1774271230.793618,0.0,0.0,0.0,0.001666666666666856,0.001666666666666856,-0.003333333333333712
1774271230.8095753,0.0,0.0,0.0,0.001666666666666856,0.001666666666666856,-0.003333333333333712
1774271230.8256662,0.0,0.0,0.0,0.011666666666666856,-0.008333333333333144,-0.003333333333333712
1774271230.8416953,0.0,0.0,0.0,0.011666666666666856,-0.008333333333333144,-0.003333333333333712
1774271230.8577485,0.0,0.0,0.0,0.001666666666666856,-0.008333333333333144,0.01666666666666629
1774271230.8734193,0.0,0.0,0.0,0.001666666666666856,-0.008333333333333144,0.01666666666666629
1774271230.8889928,0.0,0.0,0.0,0.001666666666666856,-0.008333333333333144,0.01666666666666629
1774271230.9054775,0.0,0.0,0.0,0.001666666666666856,-0.008333333333333144,0.01666666666666629
