timestamp,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,kinect_x,kinect_y,kinect_z
1772865465.291128890,pygame 2.6.1 (SDL 2.28.4, Python 3.13.7),406 380 689
1772865465.308808856,Hello from the pygame community. https://www.pygame.org/contribute.html,406 380 689
1772865465.638056334,Calibrare Kinect: tine mana in pozitia centrala...,409 385 695
1772865465.701334991,Offset Kinect: (305.70, 153.35, 598.17),409 381 700
1772865465.715084683,0 0 -0.21169291338582638,409 381 700
1772865465.945547112,0 0 -0.21169291338582638,406 377 691
1772865465.948216864,0 0 -0.21169291338582638,406 375 687
1772865465.951037616,0 0 -0.21169291338582638,400 370 672
1772865466.023723503,0 0 -0.21169291338582638,394 365 665
1772865466.585540343,0 0 -0.15169291338582638,286 300 615
1772865466.766689227,0 0 -0.15169291338582638,277 297 599
1772865466.913767357,0 0 -0.15169291338582638,280 298 595
1772865467.118221136,0 0 -0.15169291338582638,280 297 594
1772865467.174559678,0 0 -0.15169291338582638,284 298 601
1772865467.461394963,0 0 -0.15169291338582638,286 298 603
1772865467.464044042,0 0 -0.15169291338582638,286 298 603
1772865467.585548861,0 0 -0.15169291338582638,289 295 595
1772865467.600538885,0 0 -0.1616929133858264,289 295 594
1772865467.810895863,0 0 -0.1616929133858264,288 295 591
1772865467.885077740,0 0 -0.2016929133858264,286 297 575
1772865467.903687483,0 0 -0.2016929133858264,287 297 573
1772865467.930344101,0 0 -0.1716929133858264,286 296 576
1772865468.254624650,0 0 -0.1716929133858264,288 296 578
1772865468.274533728,0 0 -0.15169291338582638,298 298 599
1772865468.329072159,0 0 -0.15169291338582638,298 298 603
1772865468.563353170,0 0 -0.15169291338582638,304 305 0
1772865468.589758467,0 0 -0.15169291338582638,304 305 0
1772865468.651033131,0 0 -0.1716929133858264,309 305 0
1772865468.838496163,0 0 -0.1716929133858264,314 306 640
1772865469.240438197,0 0 -0.1716929133858264,325 313 686
1772865469.642540289,0 0 -0.1716929133858264,333 354 713
1772865469.979893522,0 0 -0.1716929133858264,346 423 716
1772865470.003768986,0 0 -0.1716929133858264,344 427 708
1772865470.204306151,0 0 -0.1716929133858264,332 442 725
1772865470.300724188,0 0 -0.1716929133858264,339 443 737
1772865470.364039535,0 0 -0.1316929133858264,347 445 743
1772865470.381804735,0 0 -0.1616929133858264,354 446 745
1772865470.648296312,0 0 -0.1616929133858264,350 447 748
1772865470.952104601,0 0 -0.1416929133858264,342 439 745
1772865470.955200574,0 0 -0.1416929133858264,342 439 745
1772865471.027817823,0 0 -0.15169291338582638,339 434 745
1772865471.044832706,0 0 -0.15169291338582638,339 434 745
1772865471.072672747,0 0 -0.15169291338582638,336 424 734
1772865471.083324997,0 0 -0.15169291338582638,336 424 734
1772865471.269047346,0 0 -0.15169291338582638,336 424 734
1772865471.271413944,0 0 -0.15169291338582638,336 417 722
1772865471.275385570,0 0 -0.15169291338582638,339 400 723
1772865471.279373692,0 0 -0.15169291338582638,335 386 711
1772865471.329516482,0 0 -0.15169291338582638,330 366 710
1772865471.371012808,0 0 -0.15169291338582638,325 328 720
1772865471.398629290,0 0 -0.15169291338582638,325 328 720
1772865471.537125660,0 0 -0.15169291338582638,322 318 714
1772865471.758804627,0 0 -0.1316929133858264,315 300 622
1772865471.950975043,0 0 -0.1316929133858264,315 300 0
1772865471.986412063,0 0 -0.1316929133858264,315 300 0
1772865471.995511852,0 0 -0.1716929133858264,315 300 0
1772865472.044035156,0 0 -0.1716929133858264,316 303 599
1772865472.057283660,0 0 -0.1716929133858264,316 303 599
1772865472.542236260,0 0 -5.981692913385826,319 301 648
1772865472.670229498,0 0 -5.981692913385826,319 304 661
1772865472.696727796,0 0 -0.1316929133858264,319 304 661
1772865472.715997563,0 0 -0.1316929133858264,320 304 663
1772865472.725880894,0 0 -0.1716929133858264,320 304 663
1772865472.961494804,0 0 -0.1716929133858264,315 305 671
1772865472.969390056,0 0 -0.1316929133858264,315 305 671
1772865472.975179054,0 0 -0.1316929133858264,314 304 674
1772865472.986867144,0 0 -0.12169291338582638,314 304 674
1772865473.128042660,0 0 -0.12169291338582638,305 302 678
1772865473.387604705,0 0 -0.06169291338582639,278 302 679
1772865473.450321768,0 0 -0.06169291338582639,271 304 676
1772865473.616390065,0 0 0.06830708661417362,259 305 678
1772865473.708838249,0 0 0.06830708661417362,255 304 678
1772865473.715251634,0 0 -5.981692913385826,255 304 678
1772865473.788557133,0 0 -5.981692913385826,255 305 675
1772865474.012703267,0 0 -5.981692913385826,256 307 674
1772865474.028701357,0 0 -0.1016929133858264,256 307 674
1772865474.162641247,0 0 -0.1016929133858264,275 301 674
1772865474.399687209,0 0 -0.2016929133858264,283 301 674
1772865474.447340411,0 0 -0.2016929133858264,283 301 674
1772865474.696247117,0 0 -0.3116929133858264,367 298 667
1772865475.150417314,0 0 -0.3116929133858264,432 303 663
1772865475.217545069,0 0 -0.2616929133858264,430 308 657
1772865475.426122712,0 0 -0.2616929133858264,429 307 658
1772865475.484689752,0 0 -0.24169291338582638,422 300 667
1772865475.501412719,0 0 -0.24169291338582638,422 300 667
1772865475.785165862,0 0 -0.2016929133858264,381 298 669
1772865476.111775496,0 0 -0.2016929133858264,355 295 671
1772865476.204942418,0 0 -0.1916929133858264,315 265 703
1772865476.835050424,0 0 -0.1916929133858264,298 243 682
1772865476.920632892,0 0 -5.981692913385826,301 240 708
1772865476.946844291,0 0 -5.981692913385826,302 240 707
1772865477.177518787,0 0 -0.1916929133858264,309 236 705
1772865477.180993438,0 0 -0.1916929133858264,309 236 705
1772865477.232466186,0 0 -0.21169291338582638,309 236 705
1772865477.255205222,0 0 -0.1616929133858264,318 270 0
1772865477.310124087,0 0 -0.1616929133858264,319 295 0
1772865477.338609124,0 0 -0.15169291338582638,319 295 0
1772865477.414786018,0 0 -0.15169291338582638,335 327 647
1772865477.504567938,0 0 -5.981692913385826,338 341 636
1772865478.013441467,0 0 -5.981692913385826,328 390 634
1772865478.259311258,0 0 -5.981692913385826,333 391 631
1772865478.411831828,0 0 -5.981692913385826,324 368 647
1772865478.600744551,0 0 -5.981692913385826,318 373 642
1772865478.725895748,0 0 -5.981692913385826,338 350 0
1772865478.868311452,0 0 -5.981692913385826,357 326 0
1772865478.933049930,0 0 -5.981692913385826,362 315 0
1772865478.942747545,0 0 -0.18169291338582638,363 310 0
1772865479.049221964,0 0 -0.18169291338582638,368 298 0
1772865479.193956644,0 0 -0.18169291338582638,368 303 0
1772865479.241542337,0 0 -0.18169291338582638,365 307 0
1772865479.269773860,0 0 -0.18169291338582638,365 307 0
1772865479.289709894,0 0 -0.2216929133858264,365 304 0
1772865479.292597547,0 0 -0.2216929133858264,365 304 0
1772865479.348254924,0 0 -0.2616929133858264,364 304 0
1772865479.363792727,0 0 -0.2616929133858264,364 304 0
1772865479.401507957,0 0 -0.3116929133858264,364 305 0
1772865479.492901423,0 0 -0.3116929133858264,362 307 0
1772865479.560535157,0 0 -0.3016929133858264,362 313 0
1772865479.591201014,0 0 -0.3016929133858264,362 309 0
1772865479.737076302,0 0 -0.3016929133858264,358 316 0
1772865480.104444203,0 0 -0.3016929133858264,355 317 0
1772865480.153761830,0 0 -0.2316929133858264,357 322 0
1772865480.379230824,0 0 -0.2316929133858264,360 319 0
1772865480.718022779,0 0 -0.2616929133858264,372 298 0
1772865480.728007316,0 0 -0.15169291338582638,372 298 0
1772865480.783388526,0 0 -0.15169291338582638,358 326 0
1772865481.024024712,0 0 -0.12169291338582638,359 300 0
